"Severity_indicator","Spectral_index","Satellite","No_severity","Very_low","Low","Moderate","High","Very_high"
"DELTA","NBR","L8OLI","[-1E7, 0]","[1 ,2629[","[2629, 4582[","[4582, 6271[","[6271, 8194[","[8194, 1e+07["
"DELTA","NBR","LTH","[-1E7, 0]","[1 ,2510[","[2510, 3868[","[3868, 5038[","[5038, 6328[","[6328, 1e+07["
"DELTA","NBR","MOD","[-1E7, 0]","[1 ,2613[","[2613, 4123[","[4123, 5548[","[5548, 7162[","[7162, 1e+07["
"RBR","NBR","L8OLI","[-1E7, 0]","[1 ,1895[","[1895, 3162[","[3162, 4217[","[4217, 5286[","[5286, 1e+07["
"RBR","NBR","LTH","[-1E7, 0]","[1 ,1846[","[1846, 2761[","[2761, 3488[","[3488, 4244[","[4244, 1e+07["
"RBR","NBR","MOD","[-1E7, 0]","[1 ,1851[","[1851, 2862.2[","[2862.2, 3703[","[3703, 4612[","[4612, 1e+07["
"RDT","NBR","L8OLI","[-1E7, 0]","[1 ,4377[","[4377, 7127[","[7127, 9519[","[9519, 11628[","[11628, 1e+07["
"RDT","NBR","LTH","[-1E7, 0]","[1 ,4257[","[4257, 6283[","[6283, 7895[","[7895, 9486[","[9486, 1e+07["
"RDT","NBR","MOD","[-1E7, 0]","[1 ,4164.4[","[4164.4, 6358[","[6358, 8137[","[8137, 10001[","[10001, 1e+07["
"DELTA","NBR","S2MSI","[-1E7, 0]","[1 ,1816[","[1816, 3519[","[3519, 5029[","[5029, 6725[","[6725, 1e+07["
"RBR","NBR","S2MSI","[-1E7, 0]","[1 ,1455[","[1455, 2750[","[2750, 3801[","[3801, 4900[","[4900, 1e+07["
"RDT","NBR","S2MSI","[-1E7, 0]","[1 ,3818[","[3818, 6884[","[6884, 9673[","[9673, 12247[","[12247, 1e+07["
