"Severity_indicator","Spectral_index","Satellite","No_severity","Low","Moderate","High","Very_high"
"DELTA","NBR","L8OLI","[-1E7, 0]","[1 ,3176[","[3176, 5427[","[5427, 7660[","[7660, 1e+07["
"DELTA","NBR","LTH","[-1E7, 0]","[1 ,2895[","[2895, 4455[","[4455, 5977[","[5977, 1e+07["
"DELTA","NBR","MOD","[-1E7, 0]","[1 ,3019.25[","[3019.25, 4831[","[4831, 6707[","[6707, 1e+07["
"DELTA","NBR","S2MSI","[-1E7, 0]","[1 ,2270[","[2270, 4285[","[4285, 6245[","[6245, 1e+07["
"RBR","NBR","L8OLI","[-1E7, 0]","[1 ,2265[","[2265, 3693[","[3693, 5014[","[5014, 1e+07["
"RBR","NBR","LTH","[-1E7, 0]","[1 ,2116[","[2116, 3131[","[3131, 4040[","[4040, 1e+07["
"RBR","NBR","MOD","[-1E7, 0]","[1 ,2131[","[2131, 3291[","[3291, 4360[","[4360, 1e+07["
"RBR","NBR","S2MSI","[-1E7, 0]","[1 ,1810[","[1810, 3284[","[3284, 4615[","[4615, 1e+07["
"RDT","NBR","L8OLI","[-1E7, 0]","[1 ,5161[","[5161, 8338[","[8338, 11139[","[11139, 1e+07["
"RDT","NBR","LTH","[-1E7, 0]","[1 ,4843[","[4843, 7110[","[7110, 9072[","[9072, 1e+07["
"RDT","NBR","MOD","[-1E7, 0]","[1 ,4775[","[4775, 7267[","[7267, 9487[","[9487, 1e+07["
"RDT","NBR","S2MSI","[-1E7, 0]","[1 ,4673[","[4673, 8244[","[8244, 11654[","[11654, 1e+07["
